Period,Label1,Value
2016-03-27,New Zealand passport,5048
2016-03-27,Other passports,12048
2016-03-27,Total,17096
2016-03-28,New Zealand passport,7095
2016-03-28,Other passports,13433
2016-03-28,Total,20528
2016-03-29,New Zealand passport,5622
2016-03-29,Other passports,11792
2016-03-29,Total,17414
2016-03-30,New Zealand passport,6196
2016-03-30,Other passports,11683
2016-03-30,Total,17879
2016-03-31,New Zealand passport,5964
2016-03-31,Other passports,10692
2016-03-31,Total,16656
2016-04-01,New Zealand passport,7137
2016-04-01,Other passports,11532
2016-04-01,Total,18669
2016-04-02,New Zealand passport,6216
2016-04-02,Other passports,11873
2016-04-02,Total,18089
2016-04-03,New Zealand passport,7173
2016-04-03,Other passports,13251
2016-04-03,Total,20424
2016-04-04,New Zealand passport,6102
2016-04-04,Other passports,11159
2016-04-04,Total,17261
2016-04-05,New Zealand passport,6767
2016-04-05,Other passports,10885
2016-04-05,Total,17652
2016-04-06,New Zealand passport,6468
2016-04-06,Other passports,9933
2016-04-06,Total,16401
2016-04-07,New Zealand passport,6767
2016-04-07,Other passports,9555
2016-04-07,Total,16322
2016-04-08,New Zealand passport,7136
2016-04-08,Other passports,11519
2016-04-08,Total,18655
2016-04-09,New Zealand passport,7044
2016-04-09,Other passports,10822
2016-04-09,Total,17866
2016-04-10,New Zealand passport,6891
2016-04-10,Other passports,11340
2016-04-10,Total,18231
2016-04-11,New Zealand passport,6290
2016-04-11,Other passports,9941
2016-04-11,Total,16231
2016-04-12,New Zealand passport,6729
2016-04-12,Other passports,10043
2016-04-12,Total,16772
2016-04-13,New Zealand passport,8365
2016-04-13,Other passports,9925
2016-04-13,Total,18290
2016-04-14,New Zealand passport,8933
2016-04-14,Other passports,9604
2016-04-14,Total,18537
2016-04-15,New Zealand passport,10023
2016-04-15,Other passports,10206
2016-04-15,Total,20229
2016-04-16,New Zealand passport,10295
2016-04-16,Other passports,10378
2016-04-16,Total,20673
2016-04-17,New Zealand passport,9439
2016-04-17,Other passports,10821
2016-04-17,Total,20260
2016-04-18,New Zealand passport,9943
2016-04-18,Other passports,10500
2016-04-18,Total,20443
2016-04-19,New Zealand passport,7499
2016-04-19,Other passports,9797
2016-04-19,Total,17296
2016-04-20,New Zealand passport,8353
2016-04-20,Other passports,10131
2016-04-20,Total,18484
2016-04-21,New Zealand passport,8334
2016-04-21,Other passports,9957
2016-04-21,Total,18291
2016-04-22,New Zealand passport,9045
2016-04-22,Other passports,10537
2016-04-22,Total,19582
2016-04-23,New Zealand passport,8341
2016-04-23,Other passports,10957
2016-04-23,Total,19298
2016-04-24,New Zealand passport,7073
2016-04-24,Other passports,11187
2016-04-24,Total,18260
2016-04-25,New Zealand passport,6179
2016-04-25,Other passports,10952
2016-04-25,Total,17131
2016-04-26,New Zealand passport,6517
2016-04-26,Other passports,10104
2016-04-26,Total,16621
2016-04-27,New Zealand passport,8131
2016-04-27,Other passports,8967
2016-04-27,Total,17098
2016-04-28,New Zealand passport,6410
2016-04-28,Other passports,9310
2016-04-28,Total,15720
2016-04-29,New Zealand passport,6692
2016-04-29,Other passports,10135
2016-04-29,Total,16827
2016-04-30,New Zealand passport,5944
2016-04-30,Other passports,9849
2016-04-30,Total,15793
2016-05-01,New Zealand passport,7038
2016-05-01,Other passports,10325
2016-05-01,Total,17363
2016-05-02,New Zealand passport,6418
2016-05-02,Other passports,9156
2016-05-02,Total,15574
2016-05-03,New Zealand passport,5460
2016-05-03,Other passports,8049
2016-05-03,Total,13509
2016-05-04,New Zealand passport,6947
2016-05-04,Other passports,7980
2016-05-04,Total,14927
2016-05-05,New Zealand passport,6916
2016-05-05,Other passports,8150
2016-05-05,Total,15066
2016-05-06,New Zealand passport,8111
2016-05-06,Other passports,9207
2016-05-06,Total,17318
2016-05-07,New Zealand passport,7897
2016-05-07,Other passports,8318
2016-05-07,Total,16215
2016-05-08,New Zealand passport,7060
2016-05-08,Other passports,9651
2016-05-08,Total,16711
2016-05-09,New Zealand passport,6016
2016-05-09,Other passports,6955
2016-05-09,Total,12971
2016-05-10,New Zealand passport,5382
2016-05-10,Other passports,6901
2016-05-10,Total,12283
2016-05-11,New Zealand passport,6685
2016-05-11,Other passports,7543
2016-05-11,Total,14228
2016-05-12,New Zealand passport,7094
2016-05-12,Other passports,7719
2016-05-12,Total,14813
2016-05-13,New Zealand passport,7248
2016-05-13,Other passports,7746
2016-05-13,Total,14994
2016-05-14,New Zealand passport,6677
2016-05-14,Other passports,8199
2016-05-14,Total,14876
2016-05-15,New Zealand passport,7441
2016-05-15,Other passports,9281
2016-05-15,Total,16722
2016-05-16,New Zealand passport,7435
2016-05-16,Other passports,7215
2016-05-16,Total,14650
2016-05-17,New Zealand passport,5485
2016-05-17,Other passports,6807
2016-05-17,Total,12292
2016-05-18,New Zealand passport,6484
2016-05-18,Other passports,7416
2016-05-18,Total,13900
2016-05-19,New Zealand passport,7045
2016-05-19,Other passports,7949
2016-05-19,Total,14994
2016-05-20,New Zealand passport,7689
2016-05-20,Other passports,7982
2016-05-20,Total,15671
2016-05-21,New Zealand passport,6915
2016-05-21,Other passports,7825
2016-05-21,Total,14740
2016-05-22,New Zealand passport,6499
2016-05-22,Other passports,8357
2016-05-22,Total,14856
2016-05-23,New Zealand passport,6167
2016-05-23,Other passports,7056
2016-05-23,Total,13223
2016-05-24,New Zealand passport,5052
2016-05-24,Other passports,6539
2016-05-24,Total,11591
2016-05-25,New Zealand passport,6369
2016-05-25,Other passports,6844
2016-05-25,Total,13213
2016-05-26,New Zealand passport,8695
2016-05-26,Other passports,7759
2016-05-26,Total,16454
2016-05-27,New Zealand passport,8204
2016-05-27,Other passports,7910
2016-05-27,Total,16114
2016-05-28,New Zealand passport,6921
2016-05-28,Other passports,7312
2016-05-28,Total,14233
2016-05-29,New Zealand passport,6719
2016-05-29,Other passports,8147
2016-05-29,Total,14866
2016-05-30,New Zealand passport,5777
2016-05-30,Other passports,6548
2016-05-30,Total,12325
2016-05-31,New Zealand passport,5443
2016-05-31,Other passports,6079
2016-05-31,Total,11522
2016-06-01,New Zealand passport,8704
2016-06-01,Other passports,6528
2016-06-01,Total,15232
2016-06-02,New Zealand passport,8430
2016-06-02,Other passports,6374
2016-06-02,Total,14804
2016-06-03,New Zealand passport,10215
2016-06-03,Other passports,7202
2016-06-03,Total,17417
2016-06-04,New Zealand passport,8596
2016-06-04,Other passports,6354
2016-06-04,Total,14950
2016-06-05,New Zealand passport,7481
2016-06-05,Other passports,7316
2016-06-05,Total,14797
2016-06-06,New Zealand passport,5713
2016-06-06,Other passports,5503
2016-06-06,Total,11216
2016-06-07,New Zealand passport,6084
2016-06-07,Other passports,5357
2016-06-07,Total,11441
2016-06-08,New Zealand passport,7205
2016-06-08,Other passports,5699
2016-06-08,Total,12904
2016-06-09,New Zealand passport,7236
2016-06-09,Other passports,6055
2016-06-09,Total,13291
2016-06-10,New Zealand passport,8939
2016-06-10,Other passports,7355
2016-06-10,Total,16294
2016-06-11,New Zealand passport,7635
2016-06-11,Other passports,6237
2016-06-11,Total,13872
2016-06-12,New Zealand passport,6700
2016-06-12,Other passports,7160
2016-06-12,Total,13860
2016-06-13,New Zealand passport,7844
2016-06-13,Other passports,7959
2016-06-13,Total,15803
2016-06-14,New Zealand passport,6311
2016-06-14,Other passports,6636
2016-06-14,Total,12947
2016-06-15,New Zealand passport,7215
2016-06-15,Other passports,6433
2016-06-15,Total,13648
2016-06-16,New Zealand passport,7527
2016-06-16,Other passports,6813
2016-06-16,Total,14340
2016-06-17,New Zealand passport,8724
2016-06-17,Other passports,7252
2016-06-17,Total,15976
2016-06-18,New Zealand passport,7354
2016-06-18,Other passports,6940
2016-06-18,Total,14294
2016-06-19,New Zealand passport,7211
2016-06-19,Other passports,7853
2016-06-19,Total,15064
2016-06-20,New Zealand passport,6225
2016-06-20,Other passports,6647
2016-06-20,Total,12872
2016-06-21,New Zealand passport,6048
2016-06-21,Other passports,5923
2016-06-21,Total,11971
2016-06-22,New Zealand passport,7140
2016-06-22,Other passports,5733
2016-06-22,Total,12873
2016-06-23,New Zealand passport,8578
2016-06-23,Other passports,7392
2016-06-23,Total,15970
2016-06-24,New Zealand passport,8931
2016-06-24,Other passports,7569
2016-06-24,Total,16500
2016-06-25,New Zealand passport,7822
2016-06-25,Other passports,7196
2016-06-25,Total,15018
2016-06-26,New Zealand passport,7648
2016-06-26,Other passports,7975
2016-06-26,Total,15623
2016-06-27,New Zealand passport,6227
2016-06-27,Other passports,6723
2016-06-27,Total,12950
2016-06-28,New Zealand passport,6655
2016-06-28,Other passports,6501
2016-06-28,Total,13156
2016-06-29,New Zealand passport,8053
2016-06-29,Other passports,7122
2016-06-29,Total,15175
2016-06-30,New Zealand passport,8639
2016-06-30,Other passports,7940
2016-06-30,Total,16579
2016-07-01,New Zealand passport,10420
2016-07-01,Other passports,8213
2016-07-01,Total,18633
2016-07-02,New Zealand passport,10099
2016-07-02,Other passports,8185
2016-07-02,Total,18284
2016-07-03,New Zealand passport,9254
2016-07-03,Other passports,8854
2016-07-03,Total,18108
2016-07-04,New Zealand passport,7989
2016-07-04,Other passports,8194
2016-07-04,Total,16183
2016-07-05,New Zealand passport,8035
2016-07-05,Other passports,7943
2016-07-05,Total,15978
2016-07-06,New Zealand passport,8498
2016-07-06,Other passports,7381
2016-07-06,Total,15879
2016-07-07,New Zealand passport,10758
2016-07-07,Other passports,8728
2016-07-07,Total,19486
2016-07-08,New Zealand passport,12766
2016-07-08,Other passports,9553
2016-07-08,Total,22319
2016-07-09,New Zealand passport,12066
2016-07-09,Other passports,9433
2016-07-09,Total,21499
2016-07-10,New Zealand passport,11358
2016-07-10,Other passports,9987
2016-07-10,Total,21345
2016-07-11,New Zealand passport,9564
2016-07-11,Other passports,8597
2016-07-11,Total,18161
2016-07-12,New Zealand passport,9201
2016-07-12,Other passports,8524
2016-07-12,Total,17725
2016-07-13,New Zealand passport,9479
2016-07-13,Other passports,8712
2016-07-13,Total,18191
2016-07-14,New Zealand passport,8638
2016-07-14,Other passports,8980
2016-07-14,Total,17618
2016-07-15,New Zealand passport,9704
2016-07-15,Other passports,9617
2016-07-15,Total,19321
2016-07-16,New Zealand passport,9328
2016-07-16,Other passports,9640
2016-07-16,Total,18968
2016-07-17,New Zealand passport,8411
2016-07-17,Other passports,9831
2016-07-17,Total,18242
2016-07-18,New Zealand passport,7872
2016-07-18,Other passports,7972
2016-07-18,Total,15844
2016-07-19,New Zealand passport,7413
2016-07-19,Other passports,7207
2016-07-19,Total,14620
2016-07-20,New Zealand passport,7644
2016-07-20,Other passports,7328
2016-07-20,Total,14972
2016-07-21,New Zealand passport,6969
2016-07-21,Other passports,6789
2016-07-21,Total,13758
2016-07-22,New Zealand passport,8332
2016-07-22,Other passports,8096
2016-07-22,Total,16428
2016-07-23,New Zealand passport,7995
2016-07-23,Other passports,8229
2016-07-23,Total,16224
2016-07-24,New Zealand passport,7766
2016-07-24,Other passports,8160
2016-07-24,Total,15926
2016-07-25,New Zealand passport,6745
2016-07-25,Other passports,6851
2016-07-25,Total,13596
2016-07-26,New Zealand passport,6164
2016-07-26,Other passports,6212
2016-07-26,Total,12376
2016-07-27,New Zealand passport,7245
2016-07-27,Other passports,6437
2016-07-27,Total,13682
2016-07-28,New Zealand passport,7263
2016-07-28,Other passports,6713
2016-07-28,Total,13976
2016-07-29,New Zealand passport,8783
2016-07-29,Other passports,8262
2016-07-29,Total,17045
2016-07-30,New Zealand passport,7617
2016-07-30,Other passports,7764
2016-07-30,Total,15381
2016-07-31,New Zealand passport,8146
2016-07-31,Other passports,8501
2016-07-31,Total,16647
2016-08-01,New Zealand passport,6697
2016-08-01,Other passports,7156
2016-08-01,Total,13853
2016-08-02,New Zealand passport,6619
2016-08-02,Other passports,6785
2016-08-02,Total,13404
2016-08-03,New Zealand passport,7079
2016-08-03,Other passports,6009
2016-08-03,Total,13088
2016-08-04,New Zealand passport,7480
2016-08-04,Other passports,6997
2016-08-04,Total,14477
2016-08-05,New Zealand passport,8934
2016-08-05,Other passports,7882
2016-08-05,Total,16816
2016-08-06,New Zealand passport,8216
2016-08-06,Other passports,7575
2016-08-06,Total,15791
2016-08-07,New Zealand passport,7634
2016-08-07,Other passports,9080
2016-08-07,Total,16714
2016-08-08,New Zealand passport,6299
2016-08-08,Other passports,7489
2016-08-08,Total,13788
2016-08-09,New Zealand passport,6056
2016-08-09,Other passports,7550
2016-08-09,Total,13606
2016-08-10,New Zealand passport,7454
2016-08-10,Other passports,7908
2016-08-10,Total,15362
2016-08-11,New Zealand passport,7328
2016-08-11,Other passports,7611
2016-08-11,Total,14939
2016-08-12,New Zealand passport,9099
2016-08-12,Other passports,9024
2016-08-12,Total,18123
2016-08-13,New Zealand passport,7709
2016-08-13,Other passports,8390
2016-08-13,Total,16099
2016-08-14,New Zealand passport,7717
2016-08-14,Other passports,10008
2016-08-14,Total,17725
2016-08-15,New Zealand passport,6325
2016-08-15,Other passports,8241
2016-08-15,Total,14566
2016-08-16,New Zealand passport,6282
2016-08-16,Other passports,7659
2016-08-16,Total,13941
2016-08-17,New Zealand passport,7581
2016-08-17,Other passports,7337
2016-08-17,Total,14918
2016-08-18,New Zealand passport,8647
2016-08-18,Other passports,7967
2016-08-18,Total,16614
2016-08-19,New Zealand passport,10643
2016-08-19,Other passports,9023
2016-08-19,Total,19666
2016-08-20,New Zealand passport,8353
2016-08-20,Other passports,8468
2016-08-20,Total,16821
2016-08-21,New Zealand passport,7929
2016-08-21,Other passports,9924
2016-08-21,Total,17853
2016-08-22,New Zealand passport,6500
2016-08-22,Other passports,8369
2016-08-22,Total,14869
2016-08-23,New Zealand passport,6025
2016-08-23,Other passports,7239
2016-08-23,Total,13264
2016-08-24,New Zealand passport,7693
2016-08-24,Other passports,6959
2016-08-24,Total,14652
2016-08-25,New Zealand passport,8099
2016-08-25,Other passports,7348
2016-08-25,Total,15447
2016-08-26,New Zealand passport,9446
2016-08-26,Other passports,8719
2016-08-26,Total,18165
2016-08-27,New Zealand passport,8113
2016-08-27,Other passports,8507
2016-08-27,Total,16620
2016-08-28,New Zealand passport,7898
2016-08-28,Other passports,10138
2016-08-28,Total,18036
2016-08-29,New Zealand passport,6559
2016-08-29,Other passports,7818
2016-08-29,Total,14377
2016-08-30,New Zealand passport,6261
2016-08-30,Other passports,7143
2016-08-30,Total,13404
2016-08-31,New Zealand passport,7400
2016-08-31,Other passports,6529
2016-08-31,Total,13929
2016-09-01,New Zealand passport,8793
2016-09-01,Other passports,6135
2016-09-01,Total,14928
2016-09-02,New Zealand passport,10617
2016-09-02,Other passports,7802
2016-09-02,Total,18419
2016-09-03,New Zealand passport,8565
2016-09-03,Other passports,6734
2016-09-03,Total,15299
2016-09-04,New Zealand passport,8430
2016-09-04,Other passports,8041
2016-09-04,Total,16471
2016-09-05,New Zealand passport,6977
2016-09-05,Other passports,6377
2016-09-05,Total,13354
2016-09-06,New Zealand passport,6871
2016-09-06,Other passports,5683
2016-09-06,Total,12554
2016-09-07,New Zealand passport,7821
2016-09-07,Other passports,5316
2016-09-07,Total,13137
2016-09-08,New Zealand passport,7889
2016-09-08,Other passports,6150
2016-09-08,Total,14039
2016-09-09,New Zealand passport,9251
2016-09-09,Other passports,7478
2016-09-09,Total,16729
2016-09-10,New Zealand passport,8129
2016-09-10,Other passports,7310
2016-09-10,Total,15439
2016-09-11,New Zealand passport,8081
2016-09-11,Other passports,8013
2016-09-11,Total,16094
2016-09-12,New Zealand passport,6483
2016-09-12,Other passports,6443
2016-09-12,Total,12926
2016-09-13,New Zealand passport,5609
2016-09-13,Other passports,5719
2016-09-13,Total,11328
2016-09-14,New Zealand passport,7174
2016-09-14,Other passports,6450
2016-09-14,Total,13624
2016-09-15,New Zealand passport,7922
2016-09-15,Other passports,6955
2016-09-15,Total,14877
2016-09-16,New Zealand passport,9981
2016-09-16,Other passports,8125
2016-09-16,Total,18106
2016-09-17,New Zealand passport,7813
2016-09-17,Other passports,7558
2016-09-17,Total,15371
2016-09-18,New Zealand passport,8092
2016-09-18,Other passports,9287
2016-09-18,Total,17379
2016-09-19,New Zealand passport,6362
2016-09-19,Other passports,7110
2016-09-19,Total,13472
2016-09-20,New Zealand passport,6491
2016-09-20,Other passports,7125
2016-09-20,Total,13616
2016-09-21,New Zealand passport,8947
2016-09-21,Other passports,7222
2016-09-21,Total,16169
2016-09-22,New Zealand passport,10314
2016-09-22,Other passports,7404
2016-09-22,Total,17718
2016-09-23,New Zealand passport,12201
2016-09-23,Other passports,8781
2016-09-23,Total,20982
2016-09-24,New Zealand passport,11933
2016-09-24,Other passports,8197
2016-09-24,Total,20130
2016-09-25,New Zealand passport,9791
2016-09-25,Other passports,9493
2016-09-25,Total,19284
2016-09-26,New Zealand passport,8732
2016-09-26,Other passports,8364
2016-09-26,Total,17096
2016-09-27,New Zealand passport,7907
2016-09-27,Other passports,8171
2016-09-27,Total,16078
2016-09-28,New Zealand passport,8498
2016-09-28,Other passports,8562
2016-09-28,Total,17060
2016-09-29,New Zealand passport,9221
2016-09-29,Other passports,8909
2016-09-29,Total,18130
2016-09-30,New Zealand passport,9918
2016-09-30,Other passports,9460
2016-09-30,Total,19378
2016-10-01,New Zealand passport,8608
2016-10-01,Other passports,9789
2016-10-01,Total,18397
2016-10-02,New Zealand passport,8300
2016-10-02,Other passports,10459
2016-10-02,Total,18759
2016-10-03,New Zealand passport,7545
2016-10-03,Other passports,10499
2016-10-03,Total,18044
2016-10-04,New Zealand passport,7391
2016-10-04,Other passports,8699
2016-10-04,Total,16090
2016-10-05,New Zealand passport,7581
2016-10-05,Other passports,8273
2016-10-05,Total,15854
2016-10-06,New Zealand passport,7935
2016-10-06,Other passports,8392
2016-10-06,Total,16327
2016-10-07,New Zealand passport,8488
2016-10-07,Other passports,9897
2016-10-07,Total,18385
2016-10-08,New Zealand passport,7406
2016-10-08,Other passports,9457
2016-10-08,Total,16863
2016-10-09,New Zealand passport,7617
2016-10-09,Other passports,9607
2016-10-09,Total,17224
2016-10-10,New Zealand passport,6978
2016-10-10,Other passports,7921
2016-10-10,Total,14899
2016-10-11,New Zealand passport,5741
2016-10-11,Other passports,6188
2016-10-11,Total,11929
2016-10-12,New Zealand passport,7547
2016-10-12,Other passports,6845
2016-10-12,Total,14392
2016-10-13,New Zealand passport,7813
2016-10-13,Other passports,6529
2016-10-13,Total,14342
2016-10-14,New Zealand passport,8941
2016-10-14,Other passports,8564
2016-10-14,Total,17505
2016-10-15,New Zealand passport,7232
2016-10-15,Other passports,8251
2016-10-15,Total,15483
2016-10-16,New Zealand passport,7770
2016-10-16,Other passports,8865
2016-10-16,Total,16635
2016-10-17,New Zealand passport,6706
2016-10-17,Other passports,7458
2016-10-17,Total,14164
2016-10-18,New Zealand passport,5565
2016-10-18,Other passports,6278
2016-10-18,Total,11843
2016-10-19,New Zealand passport,8082
2016-10-19,Other passports,6953
2016-10-19,Total,15035
2016-10-20,New Zealand passport,9076
2016-10-20,Other passports,6950
2016-10-20,Total,16026
2016-10-21,New Zealand passport,10853
2016-10-21,Other passports,8830
2016-10-21,Total,19683
2016-10-22,New Zealand passport,7875
2016-10-22,Other passports,8454
2016-10-22,Total,16329
2016-10-23,New Zealand passport,6820
2016-10-23,Other passports,9554
2016-10-23,Total,16374
2016-10-24,New Zealand passport,6751
2016-10-24,Other passports,9057
2016-10-24,Total,15808
2016-10-25,New Zealand passport,5497
2016-10-25,Other passports,7134
2016-10-25,Total,12631
2016-10-26,New Zealand passport,6689
2016-10-26,Other passports,7254
2016-10-26,Total,13943
2016-10-27,New Zealand passport,7217
2016-10-27,Other passports,7151
2016-10-27,Total,14368
2016-10-28,New Zealand passport,8738
2016-10-28,Other passports,9261
2016-10-28,Total,17999
2016-10-29,New Zealand passport,6852
2016-10-29,Other passports,8842
2016-10-29,Total,15694
2016-10-30,New Zealand passport,6840
2016-10-30,Other passports,9971
